generation,best_fitness,median_fitness
0,0.015776,0.015776
1,0.008964,0.015776
2,0.006812,0.013625
3,0.003944,0.011294
4,0.003765,0.009322
5,0.003406,0.007888
6,0.001434,0.005558
7,0.001076,0.005020
8,0.001076,0.004482
9,0.000717,0.003227
10,0.000717,0.002331
11,0.000717,0.002689
12,0.000717,0.002868
13,0.000538,0.004123
14,0.000538,0.002151
15,0.000538,0.004840
16,0.000538,0.016314
17,0.000359,0.004661
18,0.000359,0.003765
19,0.000359,0.002151
20,0.000359,0.002510
21,0.000359,0.002151
22,0.000000,0.002331
